DISTRITO,PROVINCIA,DEPARTAMENTO,Temp_Min,Temp_Max,Temp_Media,Temp_Desv,Temp_Mediana,Rango
CAPAZO,EL COLLAO,PUNO,-7.490872859954834,-3.204629898071289,-5.241691795555321,1.046237853891723,-5.498918533325195,4.286243
SUSAPAYA,TARATA,TACNA,-8.782925605773926,2.722630739212036,-5.057249589399858,3.3799652655074537,-6.348470687866211,11.505556
SANTA ROSA,EL COLLAO,PUNO,-8.722503662109375,-2.4671812057495117,-4.926243521950462,1.5751383245965513,-4.576567649841309,6.2553225
TARATA,TARATA,TACNA,-6.755064010620117,5.42961311340332,-4.893150329589844,2.8784826673730497,-5.710745811462402,12.184677
TICACO,TARATA,TACNA,-6.3028645515441895,2.1761868000030518,-4.309867858886719,2.738579776086265,-5.468515396118164,8.479052
SAN ANTONIO DE CHUCA,CAYLLOMA,AREQUIPA,-5.922765254974365,-2.714177131652832,-4.249320690448467,0.6863871331350829,-4.112851142883301,3.2085881
CANDARAVE,CANDARAVE,TACNA,-8.273414611816406,6.974405288696289,-4.202588288680367,3.6657816236210303,-5.955936908721924,15.24782
PARATIA,LAMPA,PUNO,-4.76434326171875,-2.8631317615509033,-4.107042165902945,0.5211149632311001,-4.137347221374512,1.9012115
CONDOROMA,ESPINAR,CUSCO,-4.944066047668457,-1.5798507928848267,-4.002339680989583,0.7502017338670295,-4.268321990966797,3.3642154
PISACOMA,CHUCUITO,PUNO,-5.608085632324219,-0.8295196890830994,-3.4189818411162407,1.4146513611417688,-3.778608560562134,4.778566
CARUMAS,MARISCAL NIETO,MOQUEGUA,-6.549747943878174,12.256598472595215,-3.2874041207229037,4.643760948541287,-5.0612030029296875,18.806347
SAN JUAN DE TARUCANI,AREQUIPA,AREQUIPA,-5.134901523590088,-0.8480169177055359,-3.1893239974975587,0.9409489239603042,-3.1654391288757324,4.286885
AJOYANI,CARABAYA,PUNO,-4.06450891494751,-1.7142256498336792,-3.177404550405649,0.7200280908645195,-3.338202476501465,2.3502831
CORANI,CARABAYA,PUNO,-5.897321701049805,-0.18697933852672577,-3.1132830995501894,1.504893524574864,-3.008833169937134,5.7103424
TUTI,CAYLLOMA,AREQUIPA,-3.9687747955322266,-2.139396905899048,-3.0433943612234935,0.5117007048974418,-2.9999706745147705,1.8293779
